実績明細オブジェクト一覧へ戻る,,,,,,,,,,
オブジェクト一覧へ戻る,,,,,,,,,,
,,,,,,,,,,
,プロジェクト名,,次期基幹システム構築プロジェクト,作成,2023/04/26,AB桑原,,,,
,文書名,,オブジェクト・項目定義書,最終更新,2025/01/14,SFJ上西,,,,
,,,,,,,,,,
,オブジェクト情報,,,,,,,,,
,＃,表示ラベル,API参照名,レポートで使用する,活動の追跡,項目履歴管理,,,,
,18,受注伝票就業条件,SalesOrderEmploymentConditions__c,〇,-,〇,,,,
,,,,,,,,,,
,,,,,,,,,,
,項目一覧,,,,,,,,,
,NO,表示ラベル,API参照名,データ型,選択リスト値,デフォルト値,確認／コメント,,"CSVからの
取込み対象",コメント
,1,カスタムオブジェクト ID,Id,id,,,,,-,
,2,削除,IsDeleted,チェックボックス,,,,,-,
,3,契約伝票就業条件No,Name,自動採番,,,,,-,
,4,作成日,CreatedDate,日付/時間,,,,,-,
,5,作成者 ID,CreatedById,参照関係 (ユーザー),,,,,-,
,6,最終更新日,LastModifiedDate,日付/時間,,,,,-,
,7,最終更新者 ID,LastModifiedById,参照関係 (ユーザー),,,,,-,
,8,System Modstamp,SystemModstamp,日付/時間,,,,,-,
,9,最終閲覧日,LastViewedDate,日付/時間,,,,,-,
,10,最終参照日,LastReferencedDate,日付/時間,,,,,-,
,11,請求時間丸め処理,ChargeTimeRounding__c,選択リスト,,,"2025/6/27
契約伝票への移管",,-,
,12,日合計（分単位）,DayTotal__c,"数値 (2, 0)",,,"2025/6/27
契約伝票への移管",,-,
,13,フレックス休日取扱単位,FlexHolidayUnit__c,選択リスト,,,,,〇,
,14,就業時間・休憩時間の本紙出力,IsMainFrag__c,チェックボックス,,,,,〇,
,15,月合計（分単位）,MonthTotal__c,"数値 (2, 0)",,,"2025/6/27
契約伝票への移管",,-,
,16,レコード番号（帳票出力用）,NumRecord__c,"数値 (2, 0)",,,,,-,
,17,小数点桁数 (桁),NumberOfDecimalPlaces__c,"数値 (2, 0)",,,"2025/6/27
契約伝票への移管",,-,
